Time Bucket (America/Chicago),Vue-Mains_A (kWatts),Vue-Mains_B (kWatts),Vue-Mains_C (kWatts),Vue-Cooktop/Range/Oven/Stove-Oven 4 (kWatts),Vue-Air Conditioner-AC Up Aux Heat - 8 (kWatts),Vue-Air Conditioner-AC Down Compressor - 10 (kWatts),Vue-Cooktop/Range/Oven/Stove-Stove 16 (kWatts),Vue-Dishwasher-Dishwasher 24 (kWatts),Vue-Kitchen-Kitchen 26 (kWatts),Vue-Fridge/Freezer-Refrigerator (kWatts),Vue-Room/Multi-use Circuit-Annie Marie's Room (kWatts),Vue-Water Heater-Water Heater 19 (kWatts),Vue-Air Conditioner-AC Up Compressor - 11 (kWatts),Vue-Air Conditioner-AC Up Air Handler - 7 (kWatts),Vue-Air Conditioner-AC Down Air Handler - 3 (kWatts),Vue-Garage/Shop/Barn/Shed-Garage 35 (kWatts),Vue-Computer/Network-Gym 39 (kWatts),Vue-Computer/Network-Bruno Office 34 (kWatts),Vue-Air Conditioner-AC Down Aux Heat - 15 (kWatts)
06/04/2026 05:27:47,4.0503,4.1959,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0695,3.7574,2.5124,0.2961,0.0000,0.0285,0.1624,0.1427,0.0000
06/04/2026 05:27:48,4.0436,4.1907,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0690,3.7497,2.5080,0.2955,0.0200,0.0285,0.1629,0.1425,0.0000
06/04/2026 05:27:49,4.0409,4.1925,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0694,3.7451,2.5080,0.2916,0.0199,0.0278,0.1620,0.1477,0.0000
06/04/2026 05:27:50,4.0446,4.1920,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0719,3.7481,2.5091,0.2968,0.0199,0.0285,0.1630,0.1444,0.0000
06/04/2026 05:27:51,4.0509,4.2112,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0704,3.7580,2.5135,0.2956,0.0192,0.0288,0.1623,0.1466,0.0000
06/04/2026 05:27:52,4.0495,4.2425,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0691,3.7587,2.5134,0.2961,0.0000,0.0288,0.1616,0.1473,0.0000
06/04/2026 05:27:53,4.0402,4.2638,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0689,3.7506,2.5054,0.2975,0.0000,0.0289,0.1621,0.1449,0.0000
06/04/2026 05:27:54,4.0381,4.2511,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0697,3.7464,2.5051,0.2939,0.0195,0.0273,0.1617,0.1422,0.0000
06/04/2026 05:27:55,4.0440,4.2657,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0705,3.7502,2.5064,0.2979,0.0197,0.0287,0.1605,0.1465,0.0000
06/04/2026 05:27:56,4.0473,4.2727,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0683,3.7557,2.5109,0.2985,0.0196,0.0284,0.1623,0.1490,0.0000
