Time Bucket (America/Chicago),Vue-Mains_A (kWatts),Vue-Mains_B (kWatts),Vue-Mains_C (kWatts),Vue-Cooktop/Range/Oven/Stove-Oven 4 (kWatts),Vue-Air Conditioner-AC Up Aux Heat - 8 (kWatts),Vue-Air Conditioner-AC Down Compressor - 10 (kWatts),Vue-Cooktop/Range/Oven/Stove-Stove 16 (kWatts),Vue-Dishwasher-Dishwasher 24 (kWatts),Vue-Kitchen-Kitchen 26 (kWatts),Vue-Fridge/Freezer-Refrigerator (kWatts),Vue-Room/Multi-use Circuit-Annie Marie's Room (kWatts),Vue-Water Heater-Water Heater 19 (kWatts),Vue-Air Conditioner-AC Up Compressor - 11 (kWatts),Vue-Air Conditioner-AC Up Air Handler - 7 (kWatts),Vue-Air Conditioner-AC Down Air Handler - 3 (kWatts),Vue-Garage/Shop/Barn/Shed-Garage 35 (kWatts),Vue-Computer/Network-Gym 39 (kWatts),Vue-Computer/Network-Bruno Office 34 (kWatts),Vue-Air Conditioner-AC Down Aux Heat - 15 (kWatts)
12/04/2025 00:00:00,4.4589,5.3297,No CT,0.0000,0.0175,0.0000,0.0015,0.1165,0.0168,0.0091,0.1493,3.7702,0.0000,0.2836,0.0000,0.0317,0.1952,0.1610,0.0019
12/04/2025 00:15:00,4.6825,5.3488,No CT,0.0000,0.0127,0.0000,0.0028,0.3922,0.1073,0.0090,0.1451,3.7300,0.0000,0.2820,0.0000,0.0316,0.1945,0.1601,0.0018
12/04/2025 00:30:00,4.8812,5.2348,No CT,0.0000,0.0053,0.0000,0.0045,0.7606,0.0856,0.0092,0.1388,3.7819,0.0000,0.2824,0.0000,0.0316,0.1943,0.1595,0.0021
12/04/2025 00:45:00,5.6253,5.7110,No CT,0.0001,0.0036,0.0000,0.0049,0.7635,0.0071,0.0093,0.1373,3.1248,2.2087,0.2900,0.0000,0.0313,0.1940,0.1595,0.0012
12/04/2025 01:00:00,2.7105,2.9046,No CT,0.0000,0.0036,0.0000,0.0021,0.7489,0.0164,0.0094,0.0836,0.5642,0.7752,0.2829,0.0000,0.0304,0.1942,0.1576,0.0014
12/04/2025 01:15:00,1.9863,2.7963,No CT,0.0000,0.0080,0.0000,0.0000,0.3518,0.1072,0.0093,0.0411,1.8826,0.0000,0.2831,0.0000,0.0314,0.1971,0.1606,0.0018
12/04/2025 01:30:00,0.8678,1.4245,No CT,0.0000,0.0044,0.0000,0.0000,0.3011,0.0791,0.0094,0.0411,0.0000,0.0000,0.2819,0.0000,0.0311,0.1980,0.1710,0.0016
12/04/2025 01:45:00,1.0066,1.5717,No CT,0.0000,0.0040,0.0000,0.0000,0.2197,0.0055,0.0096,0.0409,0.0000,0.4960,0.2835,0.0000,0.0309,0.1974,0.1688,0.0016
12/04/2025 02:00:00,1.8799,2.6884,No CT,0.0000,0.2048,0.0000,0.0000,0.0000,0.0310,0.0095,0.0416,0.0000,2.1610,0.7292,0.0005,0.0309,0.1992,0.1631,0.0011
12/04/2025 02:15:00,0.5737,1.4410,No CT,0.0000,0.0083,0.0000,0.0001,0.0000,0.1051,0.0093,0.0418,0.0000,0.0000,0.2834,0.0000,0.0307,0.1983,0.1609,0.0015
